label	date	hour	ignoretime	time	url	username	location	emotion	action	keywords	gender	role	latlng	
@NickKristof: In my paof Tahrir pro-#Mubarak mobs arrived in buse armed with straight-razors very menacing	2011-02-02	14:56:13	2/2/2011 14:56:13	2011-02-02 14:56:13	http://twitter.com/acarvin/statuses/32814552152276992	nickkristof	tahrir	worried	reporting	mob; weapons	male	reporter		
@NickKristof: I saw some people who were motionless and seemed badly injured. Hard to know casualties but they're adding up. #jan25	2011-02-02	14:56:49	2/2/2011 14:56:49	2011-02-02 14:56:49	http://twitter.com/acarvin/statuses/32814700899078144	nickkristof	tahrir	worried	reporting	injured; casualties	male	reporter		
@justimage: Al Jazeera is reporting that many of the thugs have police IDs on them. #egypt #jan25	2011-02-02	14:57:38	2/2/2011 14:57:38	2011-02-02 14:57:38	http://twitter.com/acarvin/statuses/32814907707621378	justimage			reporting	police; thugs; al jazeera	male	reporter		
@acarvin: AlJaz showing huge crowds rushing down a Cairo street. 'It is an intense battle here.' #jan25	2011-02-02	14:58:03	2/2/2011 14:58:03	2011-02-02 14:58:03	http://twitter.com/acarvin/statuses/32815014167445504	acarvin	talaat harb		reporting	crowd; battle; al jazeera	male	reporter		
@acarvin: Street heavy with smoke in the air - most likely tear gas. Can se some people holding cloth over their mouths. #jan25	2011-02-02	14:59:36	2/2/2011 14:59:36	2011-02-02 14:59:36	http://twitter.com/acarvin/statuses/32815402635493377	acarvin	talaat harb		reporting	tear gas	male	reporter		
@acarvin: People towards the back of the crowd leading into the square throwing rocks far into the crowd. #jan25	2011-02-02	15:00:54	2/2/2011 15:00:54	2011-02-02 15:00:54	http://twitter.com/acarvin/statuses/32815731137585152	acarvin	tahrir		reporting	crowd; rocks; battle	male	reporter		
@acarvin: One AlJaz correspondent says 'at least 100 injured.' 'All this as the army stands aside and does nothing.' #jan25	2011-02-02	15:01:53	2/2/2011 15:01:53	2011-02-02 15:01:53	http://twitter.com/acarvin/statuses/32815979562008576	acarvin	tahrir		reporting	aljazeera; casualties	male	reporter		
@acarvin: People throwing large blocks rocks and bricks off rooftops into the crowd of protesters ppl running out of the way. #jan25	2011-02-02	15:02:27	2/2/2011 15:02:27	2011-02-02 15:02:27	http://twitter.com/acarvin/statuses/32816122180935680	acarvin	tahrir		reporting	rocks; roofs; crowds	male	reporter		
@acarvin: About two dozen people on a roof  grabbing whatever objects they can and throwing it below. About one or two per second. #jan25	2011-02-02	15:03:09	2/2/2011 15:03:09	2011-02-02 15:03:09	http://twitter.com/acarvin/statuses/32816298446561280	acarvin	tahrir		reporting	rocks; roofs; crowds	male	reporter		
@acarvin: I count about 40 people on this one roof. All of them are men. #jan25	2011-02-02	15:04:04	2/2/2011 15:04:04	2011-02-02 15:04:04	http://twitter.com/acarvin/statuses/32816527505887233	acarvin	tahrir		reporting	rocks; roofs; crowds	male	reporter		
@BloggerSeif: BOILING WATER BEING THROWN FROM BALCONIES AROUND TAHRIR BRICKS DROPPED DOWN #jan25	2011-02-02	15:04:08	2/2/2011 15:04:08	2011-02-02 15:04:08	http://twitter.com/acarvin/statuses/32816543070945280	BloggerSeif	tahrir	scared	defending	boiling water; rocks	male	protester		
